"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"15437","OPTCUR","USDINR","OPTION","13-Oct-2023",81.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",55,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"15441","OPTCUR","USDINR","OPTION","13-Oct-2023",82.25,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",5798,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"15443","OPTCUR","USDINR","OPTION","13-Oct-2023",82.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",21724,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"15445","OPTCUR","USDINR","OPTION","13-Oct-2023",82.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",74929,1,1000,0.0025,"US Dollars","","","","",0.0025,0.0325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
"15447","OPTCUR","USDINR","OPTION","13-Oct-2023",83,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",392310,1,1000,0.0025,"US Dollars","","","","",0.0025,0.1225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.015,"USDINR"
"11933","OPTCUR","USDINR","OPTION","13-Oct-2023",83.125,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",288403,1,1000,0.0025,"US Dollars","","","","",0.0025,0.2025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0325,"USDINR"
"11935","OPTCUR","USDINR","OPTION","13-Oct-2023",83.375,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",36507,1,1000,0.0025,"US Dollars","","","","",0.0025,0.49,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.185,"USDINR"
"15451","OPTCUR","USDINR","OPTION","13-Oct-2023",83.5,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",21968,1,1000,0.0025,"US Dollars","","","","",0.0025,0.6575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.3,"USDINR"
"8555","OPTCUR","USDINR","OPTION","13-Oct-2023",83.625,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",557,1,1000,0.0025,"US Dollars","","","","",0.025,0.81,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4175,"USDINR"
"15455","OPTCUR","USDINR","OPTION","13-Oct-2023",84,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1698,1,1000,0.0025,"US Dollars","","","","",0.3575,1.2075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.7825,"USDINR"
"15461","OPTCUR","USDINR","OPTION","13-Oct-2023",84.75,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.1275,1.9825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.555,"USDINR"
